Country,Year,GDP_Growth,Unemployment_Rate
Bangladesh,2000,5.29329471892532,3.27
India,2000,3.84099115686554,7.589
Sri Lanka,2000,6.00003315828934,7.74
Nepal,2000,6.19999998192236,10.531
Pakistan,2000,4.2600880111325,0.614
Bangladesh,2001,5.07728777526728,3.609
India,2001,4.82396626397303,7.611
Sri Lanka,2001,-1.54540813366026,7.9
Nepal,2001,4.79989214255407,10.502
Pakistan,2001,3.65135017083765,0.611
Bangladesh,2002,3.83312393993225,3.966
India,2002,3.80397532120038,7.681
Sri Lanka,2002,3.96467568513113,8.76
Nepal,2002,0.120143177369414,10.593
Pakistan,2002,2.59481668445784,0.615
Bangladesh,2003,4.73956739963045,4.32
India,2003,7.86038147545045,7.633
Sri Lanka,2003,5.9402690780223,8.22
Nepal,2003,3.94503776051116,10.644
Pakistan,2003,5.40131087314342,0.612
Bangladesh,2004,5.23953291029852,4.316
India,2004,7.92293661307978,7.598
Sri Lanka,2004,5.44506127885352,8.38
Nepal,2004,4.68260325152944,10.652
Pakistan,2004,7.83125556961251,0.598
Bangladesh,2005,6.53594493875502,4.25
India,2005,7.92343062131789,7.551
Sri Lanka,2005,6.24174804376447,7.67
Nepal,2005,3.47918104829496,10.59
Pakistan,2005,7.2765744364722,0.583
Bangladesh,2006,6.67190498576788,3.591
India,2006,8.06073257305057,7.553
Sri Lanka,2006,7.66829190107919,6.5
Nepal,2006,3.36461478056277,10.609
Pakistan,2006,6.05163767569996,0.582
Bangladesh,2007,7.05859935449848,4.015
India,2007,7.66081506510766,7.562
Sri Lanka,2007,6.79682611892866,5.97
Nepal,2007,3.41156027980276,10.642
Pakistan,2007,4.4448143398844,0.398
Bangladesh,2008,6.01378975738535,4.49
India,2008,3.08669805950082,7.629
Sri Lanka,2008,5.95008814473897,5.22
Nepal,2008,6.10463914373472,10.597
Pakistan,2008,2.1204410433083,0.423
Bangladesh,2009,5.04512479919337,5.0
India,2009,7.8618888330338,7.636
Sri Lanka,2009,3.53891205317842,5.85
Nepal,2009,4.5330787246486,10.582
Pakistan,2009,3.47255059567348,0.535
Bangladesh,2010,5.57178818533122,3.379
India,2010,8.49758470165625,7.631
Sri Lanka,2010,8.01596737040464,4.784
Nepal,2010,4.81641464694573,10.563
Pakistan,2010,1.50171752152883,0.653
Bangladesh,2011,6.46437912497728,3.737
India,2011,5.24131620024293,7.609
Sri Lanka,2011,8.66948301160571,4.118
Nepal,2011,3.42180870116162,10.627
Pakistan,2011,2.68011685421705,0.796
Bangladesh,2012,6.52145877906443,4.07
India,2012,5.45638755164772,7.645
Sri Lanka,2012,8.6321813769906,3.88
Nepal,2012,4.67014192446953,10.632
Pakistan,2012,3.02758391088629,3.667
Bangladesh,2013,6.01360565834344,4.426
India,2013,6.38610640091713,7.678
Sri Lanka,2013,4.0517463303875,4.186
Nepal,2013,3.52515317129149,10.666
Pakistan,2013,4.36686504978387,2.954
Bangladesh,2014,6.0610593588495,4.417
India,2014,7.41022760516977,7.656
Sri Lanka,2014,6.37797889684965,4.157
Nepal,2014,6.01148284250441,10.62
Pakistan,2014,4.11642817161422,1.827
Bangladesh,2015,6.55263987816197,4.397
India,2015,7.99625378567987,7.629
Sri Lanka,2015,4.20595547501601,4.519
Nepal,2015,3.97605327162971,10.643
Pakistan,2015,4.21794209572506,3.566
Bangladesh,2016,7.11347821270093,4.35
India,2016,8.25630550176662,7.611
Sri Lanka,2016,5.05362488993089,4.242
Nepal,2016,0.433113719381524,10.714
Pakistan,2016,6.57383828511043,2.285
Bangladesh,2017,6.59024999794057,4.372
India,2017,6.79538341902422,7.626
Sri Lanka,2017,6.46068127080994,4.046
Nepal,2017,8.97727935643466,10.66
Pakistan,2017,4.43262590683975,3.204
Bangladesh,2018,7.31941263014136,4.439
India,2018,6.45385134495295,7.652
Sri Lanka,2018,2.31008425504933,4.318
Nepal,2018,7.62237610397933,10.593
Pakistan,2018,6.15170261099519,4.083
Bangladesh,2019,7.88191515117722,4.504
India,2019,3.87143694070524,6.51
Sri Lanka,2019,-0.220483886824823,4.67
Nepal,2019,6.65705543110468,10.477
Pakistan,2019,2.49763692943365,4.83
Bangladesh,2020,3.44801755122445,5.539
India,2020,-5.77772470687303,7.859
Sri Lanka,2020,-4.62451503712715,5.364
Nepal,2020,-2.3696206292072,13.037
Pakistan,2020,-1.27408744338709,5.994
Bangladesh,2021,6.93867912442445,5.457
India,2021,9.68959249191741,6.38
Sri Lanka,2021,4.2074764950026,4.981
Nepal,2021,4.838149614115,12.241
Pakistan,2021,6.51388575852702,6.338
Bangladesh,2022,7.09982877575158,4.593
India,2022,7.6093649776932,4.822
Sri Lanka,2022,-7.34919311146656,4.528
Nepal,2022,5.6313145568451,10.661
Pakistan,2022,4.7781068690358,5.291
Bangladesh,2023,5.77511237007889,3.352
India,2023,7.210224629335,4.172
Sri Lanka,2023,-2.0289296690344,4.528
Nepal,2023,1.98254843461849,10.437
Pakistan,2023,-0.414935997088406,5.237
Bangladesh,2024,4.22325911250161,3.635
India,2024,7.09927893176518,4.173
Sri Lanka,2024,4.99241614398109,4.239
Nepal,2024,3.67787459697703,10.5
Pakistan,2024,3.08176295579301,5.492
Bangladesh,2025,3.48990671836833,3.778
India,2025,7.56666179284244,4.219
Sri Lanka,2025,4.9534339114043,4.005
Nepal,2025,4.43073194983359,10.465
Pakistan,2025,3.69842668749033,5.42
